City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mbandaka,CD,2019-11-03 22:53:10,0.05,18.26,71.02,88,34,2.28
1,Rikitea,PF,2019-11-03 22:53:11,-23.12,-134.97,74.26,78,82,9.91
2,Trapani,IT,2019-11-03 22:53:11,38.02,12.54,69.8,73,40,24.16
3,Seymchan,RU,2019-11-03 22:53:11,62.93,152.39,12.83,94,100,2.71
4,Azacualpa,HN,2019-11-03 22:53:11,15.34,-88.55,84.2,74,75,9.17
5,Jamestown,AU,2019-11-03 22:53:11,-33.21,138.6,56.71,62,34,16.67
6,East London,ZA,2019-11-03 22:53:12,-33.02,27.91,64.54,70,80,10.96
7,Auki,NG,2019-11-03 22:53:12,12.18,6.51,77.99,33,93,2.59
8,Vangaindrano,MG,2019-11-03 22:53:12,-23.35,47.6,67.69,95,59,4.7
9,Ushuaia,AR,2019-11-03 22:53:12,-54.81,-68.31,44.6,52,75,19.46
10,Punta Arenas,CL,2019-11-03 22:53:13,-53.16,-70.91,42.8,70,75,33.33
11,Kodiak,US,2019-11-03 22:53:13,39.95,-94.76,62.6,57,1,11.41
12,Bredasdorp,ZA,2019-11-03 22:53:13,-34.53,20.04,59.0,62,59,3.36
13,Ponta Do Sol,BR,2019-11-03 22:53:13,-20.63,-46.0,70.18,80,35,1.01
14,Bathsheba,BB,2019-11-03 22:53:13,13.22,-59.52,84.2,70,75,19.46
15,Airai,TL,2019-11-03 22:53:14,-8.93,125.41,80.1,37,73,5.75
16,Albany,US,2019-11-03 22:53:01,42.65,-73.75,46.4,45,75,8.05
17,Arraial Do Cabo,BR,2019-11-03 22:53:14,-22.97,-42.02,74.82,85,11,21.21
18,Hithadhoo,MV,2019-11-03 22:53:14,-0.6,73.08,82.09,67,85,1.81
19,Senanga,ZM,2019-11-03 22:53:14,-16.1,23.3,78.12,39,53,9.89
20,Cape Town,ZA,2019-11-03 22:49:11,-33.93,18.42,61.0,67,76,20.8
21,Ribeira Grande,PT,2019-11-03 22:53:15,38.52,-28.7,62.42,79,100,11.45
22,Yellowknife,CA,2019-11-03 22:53:15,62.45,-114.38,12.99,66,40,8.05
23,Busselton,AU,2019-11-03 22:53:15,-33.64,115.35,57.0,63,62,2.57
24,Avarua,CK,2019-11-03 22:49:38,-21.21,-159.78,75.2,50,100,9.17
25,Yulara,AU,2019-11-03 22:53:16,-25.24,130.99,66.2,22,0,13.87
26,Bluff,AU,2019-11-03 22:53:16,-23.58,149.07,80.65,50,46,8.66
27,Kapaa,US,2019-11-03 22:53:16,22.08,-159.32,82.4,78,90,9.17
28,Port Alfred,ZA,2019-11-03 22:53:16,-33.59,26.89,62.01,89,41,1.99
29,Fort Abbas,PK,2019-11-03 22:53:17,29.19,72.85,71.11,55,0,2.8
30,Tromso,NO,2019-11-03 22:53:17,69.65,18.96,24.8,92,40,3.36
31,Sao Filipe,CV,2019-11-03 22:53:17,14.9,-24.5,79.99,61,0,8.12
32,Castro,CL,2019-11-03 22:53:17,-42.48,-73.76,50.0,71,75,17.22
33,Puerto Ayora,EC,2019-11-03 22:53:18,-0.74,-90.35,78.8,57,20,16.11
34,Vaini,IN,2019-11-03 22:53:18,15.34,74.49,67.28,93,0,2.35
35,Khagaria,IN,2019-11-03 22:53:18,25.51,86.48,70.74,71,0,5.66
36,Port Elizabeth,US,2019-11-03 22:53:18,39.31,-74.98,52.0,52,1,5.5
37,Kavaratti,IN,2019-11-03 22:53:19,10.57,72.64,80.73,72,35,5.73
38,Qaanaaq,GL,2019-11-03 22:53:19,77.48,-69.36,17.06,85,100,8.55
39,Nelson Bay,AU,2019-11-03 22:53:19,-32.72,152.14,73.99,64,40,13.87
40,Avera,US,2019-11-03 22:53:19,33.19,-82.53,64.4,54,1,4.5
41,Troitskoye,RU,2019-11-03 22:53:19,52.98,84.68,30.42,55,100,8.61
42,Hobart,AU,2019-11-03 22:53:20,-42.88,147.33,57.2,54,75,11.41
43,Kidal,ML,2019-11-03 22:53:20,18.44,1.41,76.6,16,26,3.29
44,Chuy,UY,2019-11-03 22:53:20,-33.69,-53.46,57.81,85,67,7.72
45,Vila,IT,2019-11-03 22:53:20,45.18,8.4,51.01,100,40,4.7
46,Esperance,AU,2019-11-03 22:53:21,-33.86,121.89,51.8,93,66,6.93
47,Klaksvik,FO,2019-11-03 22:53:21,62.23,-6.59,39.2,80,100,9.17
48,Palmares Do Sul,BR,2019-11-03 22:53:21,-30.26,-50.51,66.99,76,96,5.99
49,Atuona,PF,2019-11-03 22:53:22,-9.8,-139.03,80.33,77,30,12.71
50,Mataura,NZ,2019-11-03 22:53:22,-46.19,168.86,69.21,53,16,3.2
51,Zhanakorgan,KZ,2019-11-03 22:53:22,43.91,67.25,38.44,65,91,16.75
52,Bilma,NE,2019-11-03 22:53:22,18.69,12.92,77.92,17,0,7.25
53,Markova,RU,2019-11-03 22:53:23,52.21,104.21,24.8,79,75,6.71
54,Khatanga,RU,2019-11-03 22:53:23,71.98,102.47,-12.38,96,99,12.33
55,Grindavik,IS,2019-11-03 22:53:23,63.84,-22.43,37.4,74,100,4.7
56,Nishihara,JP,2019-11-03 22:53:23,35.74,139.53,63.0,77,20,10.29
57,Emba,CY,2019-11-03 22:53:24,34.81,32.42,62.6,77,20,6.93
